Valkrets,cst,H,B,L,Fri,SAP,K,V,mag,Source
Stockholms stad,18,6,0,1,0,9,0,0,16,"Tab R., https://share.scb.se/ov9993/data/historisk%20statistik/SOS%201911-%2FValstatistiken%2FRiksdagsmannavalen%20(SOS)%201909-1968%2FValstatistik-Riksdagsmannavalen-1922-1923-1924.pdf"
Stockholms län,17,2,1,0,1,6,0,0,10,
Uppsala län,20,1,1,0,1,2,0,0,5,
Södermanlands län,19,1,0,0,2,4,0,0,7,
Värmlands län,21,1,1,0,2,5,1,0,10,
Örebro län,27,1,0,0,3,5,0,0,9,
Västmanlands län,24,1,0,0,1,4,0,0,6,
Kopparbergs län,10,1,1,0,2,6,0,0,10,
Östergötlands län,28,4,1,0,1,6,0,0,12,
Jönköpings län,8,3,2,0,2,2,0,0,9,
Kronobergs län,12,3,1,0,0,2,0,0,6,
Kalmar län,9,3,2,0,1,3,0,0,9,
Gotlands län,3,1,2,0,0,0,0,0,3,
Blekinge län,1,2,0,0,1,3,0,0,6,
Kristianstads län,11,2,1,0,2,4,0,0,9,
Malmö,13,3,0,0,0,5,0,0,8,
Malmöhus,14,2,2,1,0,6,0,0,11,
Hallands län,6,3,1,0,0,2,0,0,6,
Göteborgs stad,5,3,0,1,0,5,0,0,9,
Bohus län,2,3,1,1,0,3,0,0,8,
Älvsborgs läns norra,25,2,1,0,1,3,0,0,7,
Älvsborgs läns södra,26,3,1,0,0,1,0,0,5,
Skaraborgs län,16,4,1,0,2,2,0,0,9,
Gävelborgs län,4,1,1,0,1,6,1,1,11,
Västernorrlands län,23,2,1,0,1,5,1,0,10,
Jämtlands län,7,1,1,0,1,2,0,0,5,
Västerbottens län,22,3,0,0,2,1,0,1,7,
Norrbottens län,15,3,0,0,0,2,2,0,7,
